pid;artist;location;label;_date;object_type;currrent_location;source;order;thumbnail;full;manifest
Obj1;unknown;unknown;Ackerstiefmütterchen Viola arvensis;1925-1950;Glasdia;Stiftung Pestalozzianum Zürich;https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj1.jpg;0;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj1/obj1/full/170,/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj1/obj1/full/full/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj1/manifest.json
Obj2;unknown;unknown;Bittersüsser Nachtschatten Solanum dulcamara;1925-1950;Glasdia;Stiftung Pestalozzianum Zürich;https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj2.jpg;1;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj2/obj2/full/184,/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj2/obj2/full/full/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj2/manifest.json
Obj3;unknown;unknown;Duftveilchen Viola odorata;1925-1950;Glasdia;Stiftung Pestalozzianum Zürich;https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj3.jpg;2;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj3/obj3/full/168,/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj3/obj3/full/full/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj3/manifest.json
Obj4;unknown;unknown;Echte Nelkenwurz Geum urbanum;1925-1950;Glasdia;Stiftung Pestalozzianum Zürich;https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj4.jpg;3;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj4/obj4/full/168,/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj4/obj4/full/full/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj4/manifest.json
Obj5;unknown;unknown;Echter Wunderklee Anthyllis vulneraria;1925-1950;Glasdia;Stiftung Pestalozzianum Zürich;https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj5.jpg;4;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj5/obj5/full/165,/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj5/obj5/full/full/0/default.jp;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj5/manifest.json
Obj6;unknown;unknown;Echtes Labkraut Galium verum;1925-1950;Glasdia;Stiftung Pestalozzianum Zürich;https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj6.jpg;5;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj6/obj6/full/175,/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj6/obj6/full/full/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj6/manifest.json
Obj7;unknown;unknown;Einjahrs-Knäuelkraut Scleranthus annuus;1925-1950;Glasdia;Stiftung Pestalozzianum Zürich;https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj7.jpg;6;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj7/obj7/full/170,/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj7/obj7/full/full/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj7/manifest.jso
Obj8;unknown;unknown;Eisenhutblättriger Hahnenfuss Ranunculus aconitifolius;1925-1950;Glasdia;Stiftung Pestalozzianum Zürich;https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj8.jpg;7;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj8/obj8/full/184,/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj8/obj8/full/full/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj8/manifest.json
Obj9;unknown;unknown;Essbare Kastanie Castanea vesca;1925-1950;Glasdia;Stiftung Pestalozzianum Zürich;https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj9.jpg;8;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj9/obj9/full/184,/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj9/obj9/full/full/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj9/manifest.json
Obj10;unknown;unknown;Feld-Kranzenzian Gentiana campestris;1925-1950;Glasdia;Stiftung Pestalozzianum Zürich;https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj10.jpg;9;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj10/obj10/full/163,/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj10/obj10/full/full/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj10/manifest.json
Obj11;unknown;unknown;Flatter-Binse Juncus effusus;1925-1950;Glasdia;Stiftung Pestalozzianum Zürich;https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj11.jpg;10;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj11/obj11/full/171,/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj11/obj11/full/full/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj11/manifest.json
Obj12;unknown;unknown;Frühlings-Knotenblume Leucojum vernum;1925-1950;Glasdia;Stiftung Pestalozzianum Zürich;https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj12.jpg;11;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj12/obj12/full/168,/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj12/obj12/full/full/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj12/manifest.json
Obj13;unknown;unknown;Frühlings-Platterbse Orobus vernus;1925-1950;Glasdia;Stiftung Pestalozzianum Zürich;https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj13.jpg;12;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj13/obj13/full/174,/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj13/obj13/full/full/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj13/manifest.json
Obj14;unknown;unknown;Gamander-Ehrenpreis Veronica Chamaedrys;1925-1950;Glasdia;Stiftung Pestalozzianum Zürich;https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj14.jpg;13;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj14/obj14/full/167,/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj14/obj14/full/full/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj14/manifest.json
Obj15;unknown;unknown;Gefleckter Aronstab Arum maculatum;1925-1950;Glasdia;Stiftung Pestalozzianum Zürich;https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj15.jpg;14;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj15/obj15/full/160,/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj15/obj15/full/full/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj15/manifest.json
Obj16;unknown;unknown;Gestreifter Seidelbast Daphne striata;1925-1950;Glasdia;Stiftung Pestalozzianum Zürich;https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj16.jpg;15;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj16/obj16/full/170,/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj16/obj16/full/full/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj16/manifest.json
Obj17;unknown;unknown;Gewöhnliche Kratzdistel Cirsium lanceolatum;1925-1950;Glasdia;Stiftung Pestalozzianum Zürich;https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj17.jpg;16;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj17/obj17/full/171,/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj17/obj17/full/full/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj17/manifest.json
Obj18;unknown;unknown;Grosse Kreuzblume Polygala major;1925-1950;Glasdia;Stiftung Pestalozzianum Zürich;https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj18.jpg;17;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj18/obj18/full/170,/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj18/obj18/full/full/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj18/manifest.json
Obj19;unknown;unknown;Heidelbeere Vaccinium myrtillus;1925-1950;Glasdia;Stiftung Pestalozzianum Zürich;https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj19.jpg;18;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj19/obj19/full/167,/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj19/obj19/full/full/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj19/manifest.json
Obj20;unknown;unknown;Hohe Schlüsselblume Primula elatior;1925-1950;Glasdia;Stiftung Pestalozzianum Zürich;https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj20.jpg;19;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj20/obj20/full/168,/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj20/obj20/full/full/0/default.jpg;https://mariusstricker.github.io/annonatate/img/derivatives/iiif/obj20/manifest.json
